Chemical,CAS No.,"Pos ""/""",CAS No. cleaned,"Number ""-""","Chem
Agora
Link","Che
LIST",CSCL-ISHL,,," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,Ames Overall ,,CSCL-ISHL," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,in vitro MLA Overall ,CSCL-ISHL," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,in vitro MN Overall ,CSCL-ISHL,,," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,in vitro CA Overall ,+,-,,CSCL-ISHL," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,in vivo MN Overall ,CSCL-ISHL," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,in vivo CA Overall,CSCL-ISHL," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,in vivo UDS Overall," Kirkland et al 2005 & 2011 [1, 2]*",EFSA,ECHA,SCCS,ISSTox,Literature & Notes,transgenic Overall," Kirkland et al 2005 & 2011 [1, 2]*",CosE,SCCS,EFSA,GSK,ECHA,Literature & Notes,in vivo DNA damage Overall,+,-,,CSCL-ISHL,,," Kirkland et al 2005 & 2011 [1, 2]*",NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,CARC Overall ,, (a)
Acrylonitrile,107-13-1,0,107-13-1,2,»,»,,,,+,+,,,,,,,,,+,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,2,0,,,E,-,,,,,,,,I [116],E,,-,,,,,,,,,,-,,-,,,,,,,,,,-,-,,,,,,-,+,,,,,,,+,1,3,,,,,+,+,,,,,,,,,+,,
Adriamycin [ AKA doxorubicin],23214-92-8,0,23214-92-8,2,»,»,,,,+,,,,,,,,,,+,,,+,,,,,,,,,,+,,+,,,,,,,,,,+,,,,+,,,,,,,,,,+,3,0,,,+,+,,,,,,,,,+,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,2A (S-7),,,,,,,,,,,,(+) Rats [165] ,+,,
Aflatoxicol,29611-03-8,0,29611-03-8,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
Aflatoxin B1,1162-65-8,0,1162-65-8,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,+,,,,,,,,,,+,2,0,,,+,,,,,,,,,,+,,+,,,,,,,,,,+,,,,,,,,,,,,,+,,,,,,+,-,,,,,,,-,3,1,,,,,+,,,,,,,,,,+,,
Agaritine,2757-90-6,0,2757-90-6,2,»,»,,,,+,,,,,,,,,,+,,,-,,,,,,,,,,-,,,,,,,,,,,,,,,,-,,,,,,,,,,-,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
Aloe emodin,n.a.,0,n.a.,0,,,,,,+,,,,,,,,,,+,,,+,,,,,,,,,,+,,+,,,,,,,,,,+,,,,+,,,,,,,,,,+,3,0,,,-,,,,,,,,,,-,,-,,,,,,,,,,-,,-,,,,,,,,,,-,,,,,,,,"(+) liver, kidney",,,,,,,+,1,3,,,,,,,,,,,,,,,,,
Allyl chloride (Chloropropene),107-05-1,0,107-05-1,2,»,»,+,+,+,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,+,+,+,,,,,,,,,,,+,1,0,,-,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,3 (V71),(+) Rats (Inhal.),,,E,,,,,,,,,+,,
Allyl glycidyl ether,106-92-3,0,106-92-3,2,»,»,,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,1,0,,,,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,+,+,,,,,,,,,+,,
Allyl isothiocyanate,57-06-7,0,57-06-7,2,»,»,,,,E,,,,,,,,,,E,,,U,+,,,,,,,,,I,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,1,0,,,,-,,,,,,,,,-,,,,,,,,,,,,,,-,,,,,,,,,,-,,,,,,,,,,,,,,,,0,2,,,,,+,+,,,,,,,,,+,,
2-Aminoanthracene,613-13-8,0,613-13-8,2,»,»,,,,+,,,,,,,,,,+,,,+,,,,,,,,,,+,,+,,,,,,,,,,+,,,,E,E,,,,,,,,,E,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
1-Aminoanthraquinone,82-45-1,0,82-45-1,2,»,»,-,+,+,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,,,,,,,,,,,-,0,1,,-,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,not listed,not listed,,,,,,,,,,,,,,
2-Aminoanthraquinone,117-79-3,0,117-79-3,2,»,»,,,,+,+,,,,,,,,,+,,,+,,,,,,,,,,+,,,,,,,,,,,,+,,,,,+,,,,,,,,,+,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,+,,,,,,,,,+,,
4-Aminoazobenzene,60-09-3,0,60-09-3,2,»,»,,,,+,,,,,,,,,,+,,,E,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,+,2,0,,,,,+,,,,,,,,,,+,,
4-Aminobiphenyl (free base + HCL salt),92-67-1/ 2113-61-3,8,92-67-1,2,»,»,,,,+,+,,,,,,,,,+,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,2,0,,,+,+,,,,,,,,,+,,+,,,,,,,,,,+,,+,,,,,,,,,,+,+,,,,,,+,,,,,,,,,4,0,,,,,+,,,,,,,,,,+,,
4-Amino-4'-chlorobiphenyl,135-68-2,0,135-68-2,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
5-Amino-4-chloro-o-cresol-HCl -COLIPA A117,110102-85-7,0,110102-85-7,2,»,»,,,,,,,+,+,,,,,+ [3],+,,,,,,-,-,,,,,,-,,,,,+,+,,,,,,+,,,,,,,,,,,,,,,1,1,,,,,,,-,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,
2-Amino-4-chlorophenol,95-85-2,0,95-85-2,2,»,»,-,+,+,,weak +,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,+,+,+,,,,,,,,,,,+,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,not listed,not listed,(+) Rats & Mice (feed) MHLW,,,,,,,,,,,+,,
4-Amino-4'-chlorostilbene,7570-36-7,0,7570-36-7,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
6-Amino-m-cresol  COLIPA A75   (2-amino-5-methylphenol),2835-98-5,0,2835-98-5,2,»,»,,,,,,,+,+ l.a.,,,,,+ [4],+,,,,,,+,+,,,,,,+,,,,,+,+,,,,,,+,,,,,,,,+ I.a.,,,,,,+,3,0,,,,,,+,+,,,,,,+,,,,,,,,,,,,,,,,,-,-,,,,,,-,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,CosE = SHE (-) 7d
"1-Amino-2,4-dibromoanthraquinone",81-49-2,0,81-49-2,2,»,»,,,,+,+,,,,,,,,,+,,,-,,,,,,,,,,-,,,,,,,,,,,,,,,,-,+,,,,,,,,,E,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,+,,,,,,,,,+,,
"2-Amino-3,4-dimethylimidazo[4,5-f]quinoline (MeIQ)",77094-11-2,0,77094-11-2,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,+,,,,,,,,,,+,2,0,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,+,,,,,,+,+,,,,,,,+,3,0,,,,,+,,,,,,,,,,+,,
"2-Amino-3,8-dimethylimidazo[4,5-f]quinoxaline (8-MeIQx)",77500-04-0,0,77500-04-0,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,1,0,,,-,,,,,,,,,,-,,+,,,,,,,,,,+,,E,,,,,,,,,,E,+,,,,,,+,+,,,,,,,+,3,1,,,,,+,,,,,,,,,,+,,
"3-Amino-1,4-dimethyl-5H-pyrido[4,3-b]indole acetate 
(Trp-P-1 acetate)",68808-54-8,0,68808-54-8,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,+,1,0,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,+,,,,,,,,,,+,,
"2-Aminodipyrido[1,2-a:3',2'-d]imidazole (Glu-P-2)",67730-10-3,0,67730-10-3,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,+,1,0,,,,,,,,,,,,,,,-,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,+,,,,,,,,,,+,,
3-Amino-4-ethoxyacetanilide,17026-81-2,0,17026-81-2,2,»,»,,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,-,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,+,,,,,,,,,+,,
3-Amino-9-ethyl carbazole (free base + HCl salt),132-32-1/ 6109-97-3,9,132-32-1,2,»,»,,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,-,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,+,,,,,,,,,+,,
N-(Aminoethyl)ethanolamine,111-41-1,0,111-41-1,2,»,»,-,weak +,+,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,+,-,+,,,,,,,,,,,+,1,0,,-,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,not listed,not listed,,,,,,,,,,,,,,Poly (48hrs)
2-Aminofluorene,153-78-6,0,153-78-6,2,»,»,,,,+,,,,,,,,,,+,,,+,,,,,,,,,,+,,+,,,,,,,,,,+,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,(-) [133],-,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,+,,,,,,,,,,+,,
4-Amino-2'-methylbiphenyl,1204-41-7,0,1204-41-7,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
"2-Amino-6-methyldipyridol[1,2-a:3',2'-d]imidazole (Glu-P-1)",67730-11-4,0,67730-11-4,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,+,1,0,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,+,,,,,,,,,,+,,
"2-Amino-3-methylimidazo[4,5-f]quinoline (IQ - free base & HCL salt)",76180-96-6,0,76180-96-6,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,1,0,,,-,,,,,,,,,,-,,E,,,,,,,,,,E,,E,,,,,,,,,,E,+,,,,,,+,+,,,,,,,+,2,1,,,,,+,,,,,,,,,,+,,
"2-Amino-1-methyl-6-phenylimidazo(4,5-b)pyridine (PhiP - free base & HCl salt)",105650-23-5,0,105650-23-5,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,+,,,,,,,,,,+,2,0,,,,,,,,,,,,,,,-,,,,,,,,,,-,,+,,,,,,,,,,+,+,,,,,,+,,,,,,,,,2,1,,,,,+,,,,,,,,,,+,,
"3-Amino-1-methyl-5h-pyrido(4,3-b)indole (Trp-P-2 - free base and acetate salt)",62450-07-1/ 72254-58-1,11,62450-07-1,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,+,1,0,,,,,,,,,,,,,,,E,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,+,,,,,,,+,1,0,,,,,+,,,,,,,,,,+,,
4-Amino-4'-nitrobiphenyl,1211-40-1,0,1211-40-1,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
2-Amino-4-(5-nitro-2-furyl)thiazole,38514-71-5,0,38514-71-5,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
2-Amino-4-nitrophenol,99-57-0,0,99-57-0,2,»,»,,,,+,+,,,,,,,,,+,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,2,0,,,-,-,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,+,+,,,,,,,,,+,,
2-Amino-5-nitrophenol,121-88-0,0,121-88-0,2,»,»,,,,+,+,,,,,,,,,+,,,U,+,,,,,,,,,I,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,+,,,,,,,,,+,,
4-Amino-2-nitrophenol,119-34-6,0,119-34-6,2,»,»,,,,+,+,,,,,,,,,+,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,+,,,,,,,,,+,,
4-Amino-3-nitrophenol (COLIPA B51),610-81-1,0,610-81-1,2,»,»,,,,,,,+,+,,,,,+ [5],+,,,,,,- Hprt,- Hprt,,,,,- [5],- Hprt,,,,,E,+,,,,," E [5] but, there was a clear increase reported following 3 hrs treatment + 45 hrs recovery.",+,,,,,,,+,+,,,,,,+,2,1,,,,,,-,-,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,
4-Amino-4'-nitrostilbene,7297-52-1,0,7297-52-1,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
2-Amino-5-nitrothiazole,121-66-4,0,121-66-4,2,»,»,,,,+,+,,,,,,,,,+,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,+,,,,,,,,,+,,
4-Aminophenol / p-aminophenol/ 4-hydroxyaniline COLIPA A16,123-30-8,0,123-30-8,2,»,»,,,,+,-,,+,,,,,,- [6] in S. typhimurium in 3 NTP labs (published); + [7] based on E. coli,+,,,+,,,+ Tk;  - Hprt,,,,,, [7] Inadequate  Hprt test,+,,,,,,,,,,,,,,,,+,,,+,,,,,,,+,2,0,,,+,,,+,,,,,,,+,,,,,-,,,,,,,-,,,,,-,,,,,,,-,,,,-,,- [163] but inadequate,I,,,,,,,,,1,2,,,,,+,,,,,,,,,"+ [2] No confirming data can be found. - (Rats & Mice) [7], where CTA = +ve in SHE but -ve in C3H/10T1/2 mice cell line",,,CosE: CTA = +ve in SHE but -ve in C3H/10T1/2 mice cell line
3-Aminophenol/ m-aminophenol /Cl 76545 COLIPA A015,51-81-0/ 591-27-5 (base)/  68239-81-6 (sulfate)/ 38171-54-9 (sodium salt),8,51-81-0,2,»,»,,,,,+,,weak +,+,,,,,+ [8],+,,,,,,- Hprt,- Hprt,,,,,,- Hprt,,,,,+,+,,,,,,+,,,,,,,+,+,,,,,,+,2,1,,,,,,-,-,,,,,,-,,,,,,,,,,,,,,,,,,-,,,,,,-,,,,,,,,,,,,,,,,0,2,,,,,,,,I,(-) Rats & Mice,,,,,,I,,CosE= SHE 24hrs (-)
Aminophenylnorharman,219959-86-1,0,219959-86-1,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,,,,1,0,,,,,+,,,,,,,,,+ [166],+,,
"2-Amino-9H-pyrido(2,3-b)indole (A-alpha-C)",26148-68-5,0,26148-68-5,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,+,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,,,,1,0,,,,,+,,,,,,,,,,+,,
4-Aminostilbene,4309-66-4,0,4309-66-4,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,+,1,0,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
Amodiaquine,86-42-0,0,86-42-0,2,»,»,,,,weak+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,weak+,,,,,,,,,,weak +,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
AMP397,188696-80-2,0,188696-80-2,2,»,»,,,,,,,,,,,,, + [9],+,,,,,,,,,,,,- [9],-,,,,,,,,,,,weak + [9],weak +,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,- [9],-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- [9],-,,,,,,,,,0,2,,,,,,,,,,,,,,,,,- [9] DNA adducts
Amphetamine & DL-Amphetamine sulfate,300-62-9/  60-13-9,9,300-62-9,2,»,»,,,,E,E,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,-,0,1,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-,,,,,,,,,-,,
Amscarine,51264-14-3,0,51264-14-3,2,»,»,,,,+,,,,,,,,,,+,,,+,,,,,,,,,,+,,+,,,,,,,,,,+,,,,+,,,,,,,,,,+,3,0,,,+,,,,,,,,,,+,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,
o-Anisidine (free base and HCl salt),90-04-0/  134-29-2,8,90-04-0,2,»,»,,,,+,+,,,,,,,,,+,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,+,,,,,,,,,+,2,0,,,-,-,,,,,,,,,-,,,,,,,,,,,,,,-,,,,,,,,,,-,+,,,,,,+,+,,,,,,,+,2,2,,,,,+,+,,,,,,,,NTP study: the free base was not tested,+,,
p-Anisidine (free base and HCl salt),104-94-9/ 20265-97-8,9,104-94-9,2,»,»,,,,+,+,,,,,,,,,+,,,E,+,,,,,,,,,E,,,,,,,,,,,,,,,,,+,,,,,,,,,+,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,-,E,,,,,,,,,E,,
m-Anisidine (3-methoxybenzeneamine),536-90-3,0,536-90-3,2,»,»,-,+,+,,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,+,-,+,,+,,,,,,,,,+,1,0,,+,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,not listed,not listed,,,,,,,,,,,,,,
