PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Species/Cell Type,Sex,Assay Type,Assay Code,Results,Activation,Dose Response,Panel Report,Reference,Evaluation Type
14,363894747,,,Active,,,,Saccharomyces cerevisiae,,Mitotic recombination or gene conversion,YEH+,Positive,,,"EMICBACK/52546; MUTAT RES 133:199-244,1984",,Evaluation A (Pre-1980)
15,363894748,712,C=O,Unspecified,,,,Mammalian polychromatic erythrocytes,,"Micronucleus test, chromosome aberrations",MNTT,No conclusion,,,"EMICBACK/77345; MUTAT RES 239:29-80,1990","EMICBACK/41641; MUTAT RES 90:91-109,1981",Evaluation B (Post-1980)
16,363894748,712,C=O,Unspecified,,,,Chinese hamster ovary (CHO) cells,,Forward gene mutation at the HPRT locus,CHOT,No conclusion,,,"EMICBACK/71517; MUTAT RES 196:17-36,1988","EMICBACK/53976; J TOXICOL ENVIRON HEALTH 12:27-38,1983",Evaluation B (Post-1980)
17,363894748,712,C=O,Active,,,,Human,,Sister-chromatid exchange (SCE) in vitro,SC1+D,Positive,,With dose response,EMIC/91392; Mutat Res 1993 Sep;297(2):101-80,"EMICBACK/36488; DRUG ALCOHOL DEPEND 4:91-94,1979",Evaluation B (Post-1980)
18,363894748,712,C=O,Active,,,,Human lymphocytes,,Sister-chromatid exchange (SCE) in vitro,SCL+D,Positive,,With dose response,EMIC/91392; Mutat Res 1993 Sep;297(2):101-80,"EMICBACK/36488; DRUG ALCOHOL DEPEND 4:91-94,1979",Evaluation B (Post-1980)
19,363894748,712,C=O,Active,,,,Nonhuman,,Sister-chromatid exchange (SCE) in vitro,SC2+D,Positive,,With dose response,"EMIC/91392; Mutat Res 297:101-180,1993","EMICBACK/52148; MUTAT RES 122:355-360,1983",Evaluation B (Post-1980)
20,363894748,712,C=O,Active,,,,Human lymphocytes,,Sister-chromatid exchange (SCE) in vivo,SCY+,Positive,,,EMIC/91392; Mutat Res 1993 Sep;297(2):101-80,"EMICBACK/58397; MUTAT RES 141:89-93,1984",Evaluation B (Post-1980)
21,363894748,712,C=O,Active,,,,Neurospora crassa,,Reverse gene mutation,NER+,Positive,,,"EMICBACK/52327; MUTAT RES 133:87-134,1984",,Evaluation A (Pre-1980)
22,363894748,712,C=O,Active,,,,Escherichia coli polA (W3119 vs P3478),,"Rec-assay, DNA effects (bacterial DNA repair)",RE1+,Positive,,,"EMICBACK/45048; MUTAT RES 87:211-297,1981",,Evaluation A (Pre-1980)
23,363894748,712,C=O,Active,,,,Drosophila melanogaster,,Sex-linked recessive lethal gene mutation,SRL+,Positive,,,"EMICBACK/50912; MUTAT RES 123:183-279,1983",,Evaluation A (Pre-1980)
24,363894748,712,C=O,Unspecified,,,,Human diploid fibroblasts,,"Unscheduled DNA synthesis (UDS) in vitro, DNA effects",UDHT,No conclusion,,,"EMICBACK/52100; MUTAT RES 123:363-410,1983",,Evaluation A (Pre-1980)
25,363894748,712,C=O,Active,,,,Saccharomyces cerevisiae,,Mitotic recombination or gene conversion,YEC+,Positive,,,"EMICBACK/52546; MUTAT RES 133:199-244,1984",,Evaluation A (Pre-1980)
26,363894748,712,C=O,Active,,,,Saccharomyces cerevisiae,,Reverse gene mutation,YER+,Positive,,,"EMICBACK/52546; MUTAT RES 133:199-244,1984",,Evaluation A (Pre-1980)
27,363894748,712,C=O,Active,,,,Drosophila melanogaster,Male,"Heritable translocation test, chromosome aberrations",DHT+,Positive,,,"EMICBACK/52867; MUTAT RES 134:61-88,1984",,Evaluation A (Pre-1980)
28,363894748,712,C=O,Active,,,,Nonhuman,,In vivo carcinogenicity studies,CCG+,Positive,,,"EMICBACK/67174; MUTAT RES 185:1-195,1987",,Evaluation A (Pre-1980)
29,363894749,4763,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,Active,,,,Mammalian polychromatic erythrocytes,,"Micronucleus test, chromosome aberrations",MNT+,Positive,,,"EMICBACK/77345; MUTAT RES 239:29-80,1990","EMICBACK/53701; IRCS MED SCI LIBR COMPEND 9:937-938,1981",Evaluation B (Post-1980)
30,363894749,4763,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,Active,,,,Human lymphocytes,,Sister-chromatid exchange (SCE) in vivo,SCY+,Positive,,,EMIC/91392; Mutat Res 1993 Sep;297(2):101-80,"EMICBACK/58504; FOOD CHEM TOXICOL 22:1009-1012,1984",Evaluation B (Post-1980)
31,363894749,4763,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,Inactive,,,,Syrian hamster embryo (SHE) cells,,"Cell transformation, clonal assay",CTC-,Negative,,,"EMICBACK/50076; MUTAT RES 114:283-385,1983",,Evaluation A (Pre-1980)
32,363894749,4763,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,Unspecified,,,,Mammalian polychromatic erythrocytes,,"Micronucleus test, chromosome aberrations",MNTT,No conclusion,,,"EMICBACK/50890; MUTAT RES 123:61-118,1983",,Evaluation A (Pre-1980)
33,363894749,4763,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,Inactive,,,,Mouse,Male,Sperm morphology,SPI-,Negative,,,"EMICBACK/50126; MUTAT RES 115:1-72,1983",,Evaluation A (Pre-1980)
34,363894750,5746,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,Active,,,,Chinese hamster ovary (CHO) cells,,Forward gene mutation at the HPRT locus,CHO+,Positive,,,"EMICBACK/71517; MUTAT RES 196:17-36,1988","EMICBACK/45725; MUTAT RES 94:449-466,1982",Evaluation B (Post-1980)
35,363894750,5746,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,Active,,,,Human lymphocytes,,Sister-chromatid exchange (SCE) in vivo,SCY+,Positive,,,EMIC/91392; Mutat Res 1993 Sep;297(2):101-80,"EMICBACK/35980; CANCER RES 40:477-480,1980",Evaluation B (Post-1980)
36,363894750,5746,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,Active,,,,Nonhuman,,Chromosome aberrations in vitro,CY&+,Positive,,,"EMICBACK/41729; MUTAT RES 87:143-188,1981",,Evaluation A (Pre-1980)
37,363894750,5746,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,Active,,,,Nonhuman bone marrow,,"Chromosome aberrations, in vivo",CY#+,Positive,,,"EMICBACK/41729; MUTAT RES 87:143-188,1981",,Evaluation A (Pre-1980)
38,363894750,5746,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,Active,,,,Mammalian oocytes or early embryo,,Chromosome aberrations in vivo,CYO+,Positive,,,"EMICBACK/41729; MUTAT RES 87:143-188,1981",,Evaluation A (Pre-1980)
39,363894750,5746,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,Active,,,,Mammalian germ cells,Male,Chromosome aberrations in vivo,CY9+,Positive,,,"EMICBACK/41729; MUTAT RES 87:143-188,1981",,Evaluation A (Pre-1980)
40,363894750,5746,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,Active,,,,Rodents,Male,Dominant lethal test,DLT+,Positive,,,"EMICBACK/60142; MUTAT RES 154:49-67,1985",,Evaluation A (Pre-1980)
41,363894750,5746,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,Active,,,,Escherichia coli,,"Forward and reverse gene mutation, host-mediated assay",HMB+,Positive,,,"EMICBACK/45734; MUTAT RES 98:319-374,1982","EMICBACK/28433; MUTAT RES 57:91-95,1978",Evaluation A (Pre-1980)
42,363894750,5746,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,Active,,,,Mouse,Male,"Heritable translocation test, chromosome aberrations",HTT+,Positive,,,"EMICBACK/37491; MUTAT RES 76:191-215,1980","EMICBACK/28457; MUTAT RES 53:143-144,1978",Evaluation A (Pre-1980)
43,363894750,5746,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,Active,,,,Mouse lymphoma (L5178Y) cells,,Forward gene mutation at the thymidine kinase (TK) locus; chromosome aberrations,L51+,Positive,,,"EMICBACK/50691; MUTAT RES 115:225-251,1983","EMICBACK/31144; MUTAT RES 59:61-108,1979",Evaluation A (Pre-1980)
44,363894750,5746,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,Active,,,,Mammalian polychromatic erythrocytes,,"Micronucleus test, chromosome aberrations",MNT+,Positive,,,"EMICBACK/50890; MUTAT RES 123:61-118,1983",,Evaluation A (Pre-1980)
45,363894750,5746,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,Active,,,,Mouse,Female,"Spot test, gene mutation",MST+,Positive,,,"EMICBACK/41536; MUTAT RES 86:355-379,1981","EMICBACK/26408; ARCH TOXICOL 38:75-85,1977 ; EMICBACK/26409; ARCH TOXICOL 38:87-98,1977",Evaluation A (Pre-1980)
46,363894750,5746,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,Active,,,,Neurospora crassa,,Forward gene mutation,NEF+,Positive,,,"EMICBACK/52327; MUTAT RES 133:87-134,1984",,Evaluation A (Pre-1980)
47,363894750,5746,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,Inactive,,,,Neurospora crassa,,"Aneuploidy, chromosome aberrations",NEN-,Negative,,,"EMICBACK/52327; MUTAT RES 133:87-134,1984",,Evaluation A (Pre-1980)
48,363894750,5746,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,Active,,,,Glycine max (soybean),,Gene mutation,GLM+,Positive,,,"EMICBACK/48097; MUTAT RES 99:339-347,1982",,Evaluation A (Pre-1980)
49,363894750,5746,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,Active,,,,Vicia faba,,Chromosome aberrations,VIC+,Positive,,,"EMICBACK/48092; MUTAT RES 99:257-271,1982",,Evaluation A (Pre-1980)
50,363894750,5746,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,Active,,,,Bacillus subtilis (H17 vs M45),,"Rec-assay, spot test, DNA effects (bacterial DNA repair)",REW+,Positive,,,"EMICBACK/45048; MUTAT RES 87:211-297,1981",,Evaluation A (Pre-1980)
51,363894750,5746,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,Active,,,,Bacillus subtilis (H17 vs M45T),,"Rec-assay, spot test, DNA effects (bacterial DNA repair)",REX+,Positive,,,"EMICBACK/45048; MUTAT RES 87:211-297,1981",,Evaluation A (Pre-1980)
52,363894750,5746,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,Active,,,,Escherichia coli polA (W3119 vs P3478),,"Rec-assay, DNA effects (bacterial DNA repair)",RE1+,Positive,,,"EMICBACK/45048; MUTAT RES 87:211-297,1981",,Evaluation A (Pre-1980)
53,363894750,5746,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,Active,,,,Human lymphocytes,,Sister-chromatid exchange (SCE) in vitro,SCL+D,Positive,,With dose response,"EMICBACK/41613; MUTAT RES 87:17-62,1981",,Evaluation A (Pre-1980)
54,363894750,5746,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,Active,,,,Human embryo lung fibroblasts (WI-38 cells),,Sister-chromatid exchange (SCE) in vitro,SCW+D,Positive,,With dose response,"EMICBACK/41613; MUTAT RES 87:17-62,1981",,Evaluation A (Pre-1980)
55,363894750,5746,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,Active,,,,Human,,Sister-chromatid exchange (SCE) in vitro,SC1+D,Positive,,With dose response,"EMICBACK/41613; MUTAT RES 87:17-62,1981",,Evaluation A (Pre-1980)
56,363894750,5746,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,Active,,,,Nonhuman,,Sister-chromatid exchange (SCE) in vitro,SC2+D,Positive,,With dose response,"EMICBACK/41613; MUTAT RES 87:17-62,1981",,Evaluation A (Pre-1980)
57,363894750,5746,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,Active,,,,Nonhuman,,Sister-chromatid exchange (SCE) in vivo,SC3+D,Positive,,With dose response,"EMICBACK/41613; MUTAT RES 87:17-62,1981",,Evaluation A (Pre-1980)
58,363894750,5746,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,Active,,,,Mouse,Male,"Specific locus test, gene mutation",SLT+,Positive,,,"EMICBACK/41535; MUTAT RES 86:329-354,1981","EMICBACK/19232; LAB ANIM DRUG TEST SYMP INT COMM LAB ANIM 5TH 1972 331-338,1973",Evaluation A (Pre-1980)
59,363894750,5746,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,Unspecified,,,,F1 mouse,Male,Sperm morphology,SPFT,No conclusion,,,"EMICBACK/50126; MUTAT RES 115:1-72,1983",,Evaluation A (Pre-1980)
60,363894750,5746,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,Active,,,,Mouse,Male,Sperm morphology,SPI+,Positive,,,"EMICBACK/50126; MUTAT RES 115:1-72,1983",,Evaluation A (Pre-1980)
61,363894750,5746,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,Active,,,,Drosophila melanogaster,,Sex-linked recessive lethal gene mutation,SRL+,Positive,,,"EMICBACK/50912; MUTAT RES 123:183-279,1983",,Evaluation A (Pre-1980)
62,363894750,5746,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,Active,,,,Human diploid fibroblasts,,"Unscheduled DNA synthesis (UDS) in vitro, DNA effects",UDH+,Positive,,,"EMICBACK/52100; MUTAT RES 123:363-410,1983",,Evaluation A (Pre-1980)
63,363894750,5746,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,Inactive,,,,Escherichia coli WP2 UVRA,,Tryptophan reverse gene mutation,WPU-,Negative,,,"EMICBACK/37490; MUTAT RES 76:169-190,1980",,Evaluation A (Pre-1980)
64,363894750,5746,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,Active,,,,Escherichia coli WP2,,Tryptophan reverse gene mutation,WP2+,Positive,,,"EMICBACK/37490; MUTAT RES 76:169-190,1980",,Evaluation A (Pre-1980)
65,363894750,5746,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,Active,,,,Saccharomyces cerevisiae,,"Gene conversion, DNA effects",YEC+,Positive,,,"EMICBACK/52546; MUTAT RES 133:199-244,1984",,Evaluation A (Pre-1980)
66,363894750,5746,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,Active,,,,Saccharomyces cerevisiae,,"Aneuploidy, chromosome aberrations",YEH+,Positive,,,"EMICBACK/52546; MUTAT RES 133:199-244,1984",,Evaluation A (Pre-1980)
67,363894750,5746,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,Active,,,,Saccharomyces cerevisiae,,"Aneuploidy, chromosome aberrations",YEN+,Positive,,,"EMICBACK/52546; MUTAT RES 133:199-244,1984",,Evaluation A (Pre-1980)
68,363894750,5746,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,Active,,,,Saccharomyces cerevisiae,,Reverse gene mutation,YER+,Positive,,,"EMICBACK/52546; MUTAT RES 133:199-244,1984",,Evaluation A (Pre-1980)
69,363894750,5746,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,Active,,,,Nonhuman,,In vivo carcinogenicity studies,CCG+,Positive,,,"EMICBACK/67174; MUTAT RES 185:1-195,1987",,Evaluation A (Pre-1980)
70,363894750,5746,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,Active,,,,Plant,,"Micronucleus test, chromosome aberrations",MNP+,Positive,,,"EMICBACK/50890; MUTAT RES 123:61-118,1983",,Evaluation A (Pre-1980)
71,363894750,5746,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,Active,,,,Human lymphocytes,,"Micronucleus test in vitro, chromosome aberrations",MN7+,Positive,,,"EMICBACK/50890; MUTAT RES 123:61-118,1983",,Evaluation A (Pre-1980)
72,363894750,5746,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,Inactive,,,,Mouse germ cells,Male,Unscheduled DNA synthesis (UDS) in vivo; DNA effects,UDT-,Negative,,,"EMICBACK/58407; MUTAT RES 134:143-157,1984",,Evaluation A (Pre-1980)
73,363894750,5746,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,Unspecified,,,,"Salmonella typhimurium (one or more of the five standard strains: TA98, TA100, TA1535, TA1537, and TA1538)",,"Histidine reverse gene mutation, Ames assay",SALT,No conclusion,,,EMICBACK/63689;,"EMICBACK/21338; PROC NATL ACAD SCI USA 72:5135-5139,1975",Evaluation A (Pre-1980)
74,363894751,2907,C1CNP(=O)(OC1)N(CCCl)CCCl,Active,,,,Chinese hamster ovary (CHO) cells,,Forward gene mutation at the HPRT locus,CHO+*,Positive,With metabolic activation,,"EMICBACK/71517; MUTAT RES 196:17-36,1988","EMICBACK/37536; FOOD COSMET TOXICOL 18:471-475,1980",Evaluation B (Post-1980)
75,363894751,2907,C1CNP(=O)(OC1)N(CCCl)CCCl,Active,,,,Human lymphocytes,,Sister-chromatid exchange (SCE) in vivo,SCY+,Positive,,,EMIC/91392; Mutat Res 1993 Sep;297(2):101-80,"EMICBACK/31689; MUTAT RES 67:289-294,1979",Evaluation B (Post-1980)
76,363894751,2907,C1CNP(=O)(OC1)N(CCCl)CCCl,Active,,,,Human lymphocytes,,Sister-chromatid exchange (SCE) in vitro,SCL+D,Positive,,With dose response,"EMIC/91392; Mutat Res 297:101-180,1993","EMICBACK/58368; MUTAT RES 129:47-55,1984",Evaluation B (Post-1980)
77,363894751,2907,C1CNP(=O)(OC1)N(CCCl)CCCl,Active,,,,Human,,Sister-chromatid exchange (SCE) in vitro,SC1+D,Positive,,With dose response,"EMIC/91392; Mutat Res 297:101-180,1993","EMICBACK/58368; MUTAT RES 129:47-55,1984",Evaluation B (Post-1980)
78,363894751,2907,C1CNP(=O)(OC1)N(CCCl)CCCl,Active,,,,"Salmonella typhimurium, Saccharomyces cerevisiae, human leukocytes and diploid fibroblasts",,"Forward and reverse gene mutation, mitotic recombination and gene conversion, DNA effects, body fluid assay",BFJ+,Positive,,,"EMICBACK/45734; MUTAT RES 98:319-374,1982",,Evaluation A (Pre-1980)
79,363894751,2907,C1CNP(=O)(OC1)N(CCCl)CCCl,Inactive,,,,Mouse (BALB/c-3T3) cells,,Cell transformation,CTB-,Negative,,,"EMICBACK/50076; MUTAT RES 114:283-385,1983",,Evaluation A (Pre-1980)
80,363894751,2907,C1CNP(=O)(OC1)N(CCCl)CCCl,Active,,,,Mouse (C3H/10T1/2) cells,,Cell transformation,CTH+D*,Positive,With metabolic activation,With dose response,"EMICBACK/50076; MUTAT RES 114:283-385,1983",,Evaluation A (Pre-1980)
81,363894751,2907,C1CNP(=O)(OC1)N(CCCl)CCCl,Active,,,,Fischer rat embryo (RLV/1706) cells,,"Cell transformation, viral enhanced",CTR+,Positive,,,"EMICBACK/50076; MUTAT RES 114:283-385,1983",,Evaluation A (Pre-1980)
82,363894751,2907,C1CNP(=O)(OC1)N(CCCl)CCCl,Active,,,,Nonhuman bone marrow,,"Chromosome aberrations, in vivo",CY#+D,Positive,,With dose response,"EMICBACK/41729; MUTAT RES 87:143-188,1981",,Evaluation A (Pre-1980)
83,363894751,2907,C1CNP(=O)(OC1)N(CCCl)CCCl,Active,,,,Mammalian oocytes or early embryo,,Chromosome aberrations in vivo,CYO+D,Positive,,With dose response,"EMICBACK/41729; MUTAT RES 87:143-188,1981",,Evaluation A (Pre-1980)
84,363894751,2907,C1CNP(=O)(OC1)N(CCCl)CCCl,Active,,,,Human cell culture,,Chromosome aberrations in vitro,CYZ+,Positive,,,"EMICBACK/41729; MUTAT RES 87:143-188,1981",,Evaluation A (Pre-1980)
85,363894751,2907,C1CNP(=O)(OC1)N(CCCl)CCCl,Active,,,,Human bone marrow,,Chromosome aberrations in vivo,CY5+,Positive,,,"EMICBACK/41729; MUTAT RES 87:143-188,1981",,Evaluation A (Pre-1980)
86,363894751,2907,C1CNP(=O)(OC1)N(CCCl)CCCl,Active,,,,Human lymphocytes or leukocytes,,Chromosome aberrations in vitro,CY7+D,Positive,,With dose response,"EMICBACK/41729; MUTAT RES 87:143-188,1981",,Evaluation A (Pre-1980)
87,363894751,2907,C1CNP(=O)(OC1)N(CCCl)CCCl,Active,,,,Human lymphocytes or leukocytes,,Chromosome aberrations in vivo,CY8+,Positive,,,"EMICBACK/41729; MUTAT RES 87:143-188,1981",,Evaluation A (Pre-1980)
88,363894751,2907,C1CNP(=O)(OC1)N(CCCl)CCCl,Active,,,,Mammalian germ cells,Male,Chromosome aberrations in vivo,CY9+,Positive,,,"EMICBACK/41729; MUTAT RES 87:143-188,1981",,Evaluation A (Pre-1980)
89,363894751,2907,C1CNP(=O)(OC1)N(CCCl)CCCl,Active,,,,Rodents,Male,Dominant lethal test,DLT+D,Positive,,With dose response,"EMICBACK/60142; MUTAT RES 154:49-67,1985","EMICBACK/11378; CHEM MUTAGENESIS MAMM MAN 294-316,1970 ; EMICBACK/20291; MUTAT RES 29:209-214,1975",Evaluation A (Pre-1980)
90,363894751,2907,C1CNP(=O)(OC1)N(CCCl)CCCl,Active,,,,"Salmonella typhimurium, Escherichia coli, Serratia marcesens, human lymphoid cells, Saccharomyces cerevisiae, Chinese hamster lung (V79) cells, mouse leukemia cells",,"Forward and reverse gene mutation, mitotic recombination and gene conversion, DNA effects, chromosome aberrations, host-mediated assay",HM6+,Positive,,,"EMICBACK/45734; MUTAT RES 98:319-374,1982","EMICBACK/13663; MOL GEN GENET 117:197-209,1972 ; EMICBACK/20080; MUTAT RES 28:57-61,1975",Evaluation A (Pre-1980)
