Chemical,SMILES,Identificador,Results,Type,Species,Strain,Male,Female
"(10S,11S)-10,11-dihydronaphtho[1,2-b]quinoline-10,11-diol",C1=CC=C2C(=C1)C=CC3=CC4=C([C@@H]([C@H](C=C4)O)O)N=C32,56842959,Positive,In Vivo,MOUSE,SWISS,sim,sim
"(10S,11S)-10,11-dihydronaphtho[1,2-b]quinoline-10,11-diol",C1=CC=C2C(=C1)C=CC3=CC4=C([C@@H]([C@H](C=C4)O)O)N=C32,56842959,Positive,In Vivo,MOUSE,SWISS,sim,Não
(12-methylbenzo[a]anthracen-7-yl)methanol,CC1=C2C(=C(C3=CC=CC=C13)CO)C=CC4=CC=CC=C42,11285,Positive,In Vivo,MOUSE,B6C3F1,sim,Não
(12-methylbenzo[a]anthracen-7-yl)methanol,CC1=C2C(=C(C3=CC=CC=C13)CO)C=CC4=CC=CC=C42,11285,Positive,In Vivo,MOUSE,STRAIN-A,sim,sim
(12-methylbenzo[a]anthracen-7-yl)methanol,CC1=C2C(=C(C3=CC=CC=C13)CO)C=CC4=CC=CC=C42,568-75-2,Positive,in vivo,Nonhuman,Não definido,Não,Não
(12-methylbenzo[a]anthracen-7-yl)methanol,CC1=C2C(=C(C3=CC=CC=C13)CO)C=CC4=CC=CC=C42,11285,Negative,In Vivo,RAT,SPRAGUE-DAWLEY,sim,sim
(12-methylbenzo[a]anthracen-7-yl)methanol,CC1=C2C(=C(C3=CC=CC=C13)CO)C=CC4=CC=CC=C42,11285,Positive,In Vivo,RAT,SPRAGUE-DAWLEY,sim,sim
"(17S,18S)-pentacyclo[10.7.1.02,11.03,8.016,20]icosa-1(19),2(11),3,5,7,9,12(20),13,15-nonaene-17,18-diol",C1=CC=C2C(=C1)C=CC3=C2C4=C[C@@H]([C@H](C5=CC=CC3=C54)O)O,163759,Positive,In Vivo,MOUSE,CD-1,sim,sim
"(17S,18S)-pentacyclo[10.7.1.02,11.03,8.016,20]icosa-1(19),2(11),3,5,7,9,12(20),13,15-nonaene-17,18-diol",C1=CC=C2C(=C1)C=CC3=C2C4=C[C@@H]([C@H](C5=CC=CC3=C54)O)O,163759,Positive,In Vivo,MOUSE,CD-1,sim,Não
"(18R,19S,20R,22S)-21-oxa-2-azahexacyclo[12.9.0.03,12.04,9.017,23.020,22]tricosa-1(14),2,4,6,8,10,12,15,17(23)-nonaene-18,19-diol",C1=CC=C2C(=C1)C=CC3=CC4=C(C5=C(C=C4)[C@H]([C@@H]([C@@H]6[C@H]5O6)O)O)N=C32,151982,Positive,In Vivo,MOUSE,CD-1,sim,sim
"(18R,19S,20R,22S)-21-oxa-2-azahexacyclo[12.9.0.03,12.04,9.017,23.020,22]tricosa-1(14),2,4,6,8,10,12,15,17(23)-nonaene-18,19-diol",C1=CC=C2C(=C1)C=CC3=CC4=C(C5=C(C=C4)[C@H]([C@@H]([C@@H]6[C@H]5O6)O)O)N=C32,151982,Positive,In Vivo,MOUSE,CD-1,sim,Não
"(18R,19S,20S,22R)-21-oxa-2-azahexacyclo[12.9.0.03,12.04,9.017,23.020,22]tricosa-1(14),2,4,6,8,10,12,15,17(23)-nonaene-18,19-diol",C1=CC=C2C(=C1)C=CC3=CC4=C(C5=C(C=C4)[C@H]([C@@H]([C@H]6[C@@H]5O6)O)O)N=C32,151977,Positive,In Vivo,MOUSE,CD-1,sim,sim
"(18R,19S,20S,22R)-21-oxa-2-azahexacyclo[12.9.0.03,12.04,9.017,23.020,22]tricosa-1(14),2,4,6,8,10,12,15,17(23)-nonaene-18,19-diol",C1=CC=C2C(=C1)C=CC3=CC4=C(C5=C(C=C4)[C@H]([C@@H]([C@H]6[C@@H]5O6)O)O)N=C32,151977,Positive,In Vivo,MOUSE,CD-1,sim,Não
"(18S,19R,20R,22S)-21-oxa-2-azahexacyclo[12.9.0.03,12.04,9.017,23.020,22]tricosa-1(14),2,4,6,8,10,12,15,17(23)-nonaene-18,19-diol",C1=CC=C2C(=C1)C=CC3=CC4=C(C5=C(C=C4)[C@@H]([C@H]([C@@H]6[C@H]5O6)O)O)N=C32,151979,Negative,In Vivo,MOUSE,CD-1,sim,sim
"(18S,19R,20R,22S)-21-oxa-2-azahexacyclo[12.9.0.03,12.04,9.017,23.020,22]tricosa-1(14),2,4,6,8,10,12,15,17(23)-nonaene-18,19-diol",C1=CC=C2C(=C1)C=CC3=CC4=C(C5=C(C=C4)[C@@H]([C@H]([C@@H]6[C@H]5O6)O)O)N=C32,151979,Negative,In Vivo,MOUSE,CD-1,sim,Não
"(18S,19R,20S,22R)-21-oxa-2-azahexacyclo[12.9.0.03,12.04,9.017,23.020,22]tricosa-1(14),2,4,6,8,10,12,15,17(23)-nonaene-18,19-diol",C1=CC=C2C(=C1)C=CC3=CC4=C(C5=C(C=C4)[C@@H]([C@H]([C@H]6[C@@H]5O6)O)O)N=C32,151984,Positive,In Vivo,MOUSE,CD-1,sim,sim
"(18S,19R,20S,22R)-21-oxa-2-azahexacyclo[12.9.0.03,12.04,9.017,23.020,22]tricosa-1(14),2,4,6,8,10,12,15,17(23)-nonaene-18,19-diol",C1=CC=C2C(=C1)C=CC3=CC4=C(C5=C(C=C4)[C@@H]([C@H]([C@H]6[C@@H]5O6)O)O)N=C32,151984,Positive,In Vivo,MOUSE,CD-1,sim,Não
"(1E,6E)-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,6-diene-3,5-dione",COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,969516,Negative,In Vivo,RAT,F344,sim,Não
"(1R,2R,3R,6S,7S,8S,9S,11R)-3,4,5,6,13,13-hexachloro-10-oxapentacyclo[6.3.1.13,6.02,7.09,11]tridec-4-ene",C1[C@@H]2[C@@H]3[C@H]([C@H]1[C@H]4[C@@H]2O4)[C@@]5(C(=C([C@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl,12358480,Negative,In Vivo,MOUSE,B6C3F1,sim,sim
"(1R,2R,3R,6S,7S,8S,9S,11R)-3,4,5,6,13,13-hexachloro-10-oxapentacyclo[6.3.1.13,6.02,7.09,11]tridec-4-ene",C1[C@@H]2[C@@H]3[C@H]([C@H]1[C@H]4[C@@H]2O4)[C@@]5(C(=C([C@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl,12358480,Negative,In Vivo,MOUSE,B6C3F1,sim,Não
"(1R,2R,3R,6S,7S,8S,9S,11R)-3,4,5,6,13,13-hexachloro-10-oxapentacyclo[6.3.1.13,6.02,7.09,11]tridec-4-ene",C1[C@@H]2[C@@H]3[C@H]([C@H]1[C@H]4[C@@H]2O4)[C@@]5(C(=C([C@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl,72-20-8,Negative,in vivo,Nonhuman,Não definido,Não,Não
"(1R,2R,3R,6S,7S,8S,9S,11R)-3,4,5,6,13,13-hexachloro-10-oxapentacyclo[6.3.1.13,6.02,7.09,11]tridec-4-ene",C1[C@@H]2[C@@H]3[C@H]([C@H]1[C@H]4[C@@H]2O4)[C@@]5(C(=C([C@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl,12358480,Negative,In Vivo,RAT,OSBORNE-MENDEL,sim,sim
"(1R,2R,3R,6S,7S,8S,9S,11R)-3,4,5,6,13,13-hexachloro-10-oxapentacyclo[6.3.1.13,6.02,7.09,11]tridec-4-ene",C1[C@@H]2[C@@H]3[C@H]([C@H]1[C@H]4[C@@H]2O4)[C@@]5(C(=C([C@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl,12358480,Negative,In Vivo,RAT,OSBORNE-MENDEL,sim,Não
"(1R,2R,3S,6S)-7-oxabicyclo[4.1.0]hept-4-ene-2,3-diol",C1=C[C@H]2[C@H](O2)[C@@H]([C@H]1O)O,147504,Positive,In Vivo,MOUSE,SWISS,sim,sim
"(1R,2R,3S,6S)-7-oxabicyclo[4.1.0]hept-4-ene-2,3-diol",C1=C[C@H]2[C@H](O2)[C@@H]([C@H]1O)O,147504,Positive,In Vivo,MOUSE,SWISS,sim,Não
"(1R,2R,3S,7R,9R,10R,12S)-3,10-dihydroxy-2-(hydroxymethyl)-1,5-dimethylspiro[8-oxatricyclo[7.2.1.02,7]dodec-5-ene-12,2'-oxirane]-4-one",CC1=C[C@@H]2[C@]([C@@H](C1=O)O)([C@]3(C[C@H]([C@H]([C@@]34CO4)O2)O)C)CO,40024,Negative,In Vivo,MOUSE,B6C3F1,sim,sim
"(1R,2R,3S,7R,9R,10R,12S)-3,10-dihydroxy-2-(hydroxymethyl)-1,5-dimethylspiro[8-oxatricyclo[7.2.1.02,7]dodec-5-ene-12,2'-oxirane]-4-one",CC1=C[C@@H]2[C@]([C@@H](C1=O)O)([C@]3(C[C@H]([C@H]([C@@]34CO4)O2)O)C)CO,40024,Negative,In Vivo,MOUSE,B6C3F1,sim,Não
"(1R,2R,5S,8S,9S,10R,11S,12S)-5,12-dihydroxy-11-methyl-6-methylidene-16-oxo-15-oxapentacyclo[9.3.2.15,8.01,10.02,8]heptadec-13-ene-9-carboxylic acid",C[C@@]12[C@H](C=C[C@@]3([C@@H]1[C@@H]([C@]45[C@H]3CC[C@](C4)(C(=C)C5)O)C(=O)O)OC2=O)O,6466,Positive,In Vivo,MOUSE,SWISS,sim,sim
"(1R,2R,5S,8S,9S,10R,11S,12S)-5,12-dihydroxy-11-methyl-6-methylidene-16-oxo-15-oxapentacyclo[9.3.2.15,8.01,10.02,8]heptadec-13-ene-9-carboxylic acid",C[C@@]12[C@H](C=C[C@@]3([C@@H]1[C@@H]([C@]45[C@H]3CC[C@](C4)(C(=C)C5)O)C(=O)O)OC2=O)O,6466,Positive,In Vivo,MOUSE,SWISS,sim,Não
"(1R,2R)-11-methyl-1,2-dihydrochrysene-1,2-diol",CC1=CC2=C(C=C[C@H]([C@@H]2O)O)C3=C1C4=CC=CC=C4C=C3,57137,Positive,In Vivo,MOUSE,ICR,sim,sim
"(1R,2R)-11-methyl-1,2-dihydrochrysene-1,2-diol",CC1=CC2=C(C=C[C@H]([C@@H]2O)O)C3=C1C4=CC=CC=C4C=C3,57137,Positive,In Vivo,MOUSE,ICR,sim,Não
"(1R,2R)-5-methyl-1,2-dihydrochrysene-1,2-diol",CC1=CC2=CC=CC=C2C3=C1C4=C(C=C3)[C@H]([C@@H](C=C4)O)O,57136,Positive,In Vivo,MOUSE,ICR,sim,sim
"(1R,2R)-5-methyl-1,2-dihydrochrysene-1,2-diol",CC1=CC2=CC=CC=C2C3=C1C4=C(C=C3)[C@H]([C@@H](C=C4)O)O,57136,Positive,In Vivo,MOUSE,ICR,sim,Não
"(1R,2R)-cyclohexa-3,5-diene-1,2-diol",C1=C[C@H]([C@@H](C=C1)O)O,149186,Negative,In Vivo,MOUSE,SWISS,sim,sim
"(1R,2R)-cyclohexa-3,5-diene-1,2-diol",C1=C[C@H]([C@@H](C=C1)O)O,149186,Negative,In Vivo,MOUSE,SWISS,sim,Não
"(1R,2S,3S,4R,5R)-6,8-dioxabicyclo[3.2.1]octane-2,3,4-triol",C1[C@@H]2[C@H]([C@@H]([C@H]([C@H](O1)O2)O)O)O,2724705,Negative,In Vivo,MOUSE,CD-1,sim,sim
"(1R,2S,3S,4S,7S,11S,13R)-3,4,5,6,6,7-hexachloro-12-oxahexacyclo[6.5.0.02,10.03,7.05,9.011,13]tridecane",[C@@H]12[C@@H]3[C@@H](O3)C4[C@@H]1[C@@]5([C@@H](C6(C4C2[C@]5(C6(Cl)Cl)Cl)Cl)Cl)Cl,122361661,Negative,In Vivo,MOUSE,B6C3F1,sim,sim
"(1R,2S,3S,4S,7S,11S,13R)-3,4,5,6,6,7-hexachloro-12-oxahexacyclo[6.5.0.02,10.03,7.05,9.011,13]tridecane",[C@@H]12[C@@H]3[C@@H](O3)C4[C@@H]1[C@@]5([C@@H](C6(C4C2[C@]5(C6(Cl)Cl)Cl)Cl)Cl)Cl,122361661,Negative,In Vivo,MOUSE,B6C3F1,sim,Não
"(1R,2S,3S,4S,7S,11S,13R)-3,4,5,6,6,7-hexachloro-12-oxahexacyclo[6.5.0.02,10.03,7.05,9.011,13]tridecane",[C@@H]12[C@@H]3[C@@H](O3)C4[C@@H]1[C@@]5([C@@H](C6(C4C2[C@]5(C6(Cl)Cl)Cl)Cl)Cl)Cl,122361661,Negative,In Vivo,RAT,OSBORNE-MENDEL,sim,sim
"(1R,2S,3S,4S,7S,11S,13R)-3,4,5,6,6,7-hexachloro-12-oxahexacyclo[6.5.0.02,10.03,7.05,9.011,13]tridecane",[C@@H]12[C@@H]3[C@@H](O3)C4[C@@H]1[C@@]5([C@@H](C6(C4C2[C@]5(C6(Cl)Cl)Cl)Cl)Cl)Cl,122361661,Negative,In Vivo,RAT,OSBORNE-MENDEL,sim,Não
"(1R,2S,3S,6R,7R,8S,9S,11R)-3,4,5,6,13,13-hexachloro-10-oxapentacyclo[6.3.1.13,6.02,7.09,11]tridec-4-ene",C1[C@@H]2[C@H]3[C@@H]([C@H]1[C@H]4[C@@H]2O4)[C@]5(C(=C([C@@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl,969491,Negative,In Vivo,MOUSE,B6C3F1,sim,sim
"(1R,2S,3S,6R,7R,8S,9S,11R)-3,4,5,6,13,13-hexachloro-10-oxapentacyclo[6.3.1.13,6.02,7.09,11]tridec-4-ene",C1[C@@H]2[C@H]3[C@@H]([C@H]1[C@H]4[C@@H]2O4)[C@]5(C(=C([C@@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl,969491,Positive,In Vivo,MOUSE,B6C3F1,sim,Não
"(1R,2S,3S,6R,7R,8S,9S,11R)-3,4,5,6,13,13-hexachloro-10-oxapentacyclo[6.3.1.13,6.02,7.09,11]tridec-4-ene",C1[C@@H]2[C@H]3[C@@H]([C@H]1[C@H]4[C@@H]2O4)[C@]5(C(=C([C@@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl,969491,Positive,In Vivo,MOUSE,BALB,sim,Não
"(1R,2S,3S,6R,7R,8S,9S,11R)-3,4,5,6,13,13-hexachloro-10-oxapentacyclo[6.3.1.13,6.02,7.09,11]tridec-4-ene",C1[C@@H]2[C@H]3[C@@H]([C@H]1[C@H]4[C@@H]2O4)[C@]5(C(=C([C@@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl,969491,Positive,In Vivo,MOUSE,C3H,sim,Não
"(1R,2S,3S,6R,7R,8S,9S,11R)-3,4,5,6,13,13-hexachloro-10-oxapentacyclo[6.3.1.13,6.02,7.09,11]tridec-4-ene",C1[C@@H]2[C@H]3[C@@H]([C@H]1[C@H]4[C@@H]2O4)[C@]5(C(=C([C@@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl,969491,Positive,In Vivo,MOUSE,C57BL,sim,Não
"(1R,2S,3S,6R,7R,8S,9S,11R)-3,4,5,6,13,13-hexachloro-10-oxapentacyclo[6.3.1.13,6.02,7.09,11]tridec-4-ene",C1[C@@H]2[C@H]3[C@@H]([C@H]1[C@H]4[C@@H]2O4)[C@]5(C(=C([C@@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl,969491,Positive,In Vivo,MOUSE,CF-1,sim,sim
"(1R,2S,3S,6R,7R,8S,9S,11R)-3,4,5,6,13,13-hexachloro-10-oxapentacyclo[6.3.1.13,6.02,7.09,11]tridec-4-ene",C1[C@@H]2[C@H]3[C@@H]([C@H]1[C@H]4[C@@H]2O4)[C@]5(C(=C([C@@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl,969491,Negative,In Vivo,RAT,OSBORNE-MENDEL,sim,sim
"(1R,2S,3S,6R,7R,8S,9S,11R)-3,4,5,6,13,13-hexachloro-10-oxapentacyclo[6.3.1.13,6.02,7.09,11]tridec-4-ene",C1[C@@H]2[C@H]3[C@@H]([C@H]1[C@H]4[C@@H]2O4)[C@]5(C(=C([C@@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl,969491,Negative,In Vivo,RAT,OSBORNE-MENDEL,sim,Não
"(1R,2S,3S,6R,7R,8S,9S,11R)-3,4,5,6,13,13-hexachloro-10-oxapentacyclo[6.3.1.13,6.02,7.09,11]tridec-4-ene",C1[C@@H]2[C@H]3[C@@H]([C@H]1[C@H]4[C@@H]2O4)[C@]5(C(=C([C@@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl,60-57-1,Negative,in vivo,Rodents,Não definido,Sim,Não
"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,16666,Negative,In Vivo,MOUSE,B6C3F1,sim,sim
"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,16666,Negative,In Vivo,MOUSE,B6C3F1,sim,Não
"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,16666,Negative,In Vivo,RAT,F344,sim,sim
"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,16666,Negative,In Vivo,RAT,F344,sim,Não
"(1R,2S)-2-(methylamino)-1-phenylpropan-1-ol;sulfuric acid",C[C@@H]([C@@H](C1=CC=CC=C1)O)NC.C[C@@H]([C@@H](C1=CC=CC=C1)O)NC.OS(=O)(=O)O,5359318,Negative,In Vivo,MOUSE,B6C3F1,sim,sim
"(1R,2S)-2-(methylamino)-1-phenylpropan-1-ol;sulfuric acid",C[C@@H]([C@@H](C1=CC=CC=C1)O)NC.C[C@@H]([C@@H](C1=CC=CC=C1)O)NC.OS(=O)(=O)O,5359318,Negative,In Vivo,MOUSE,B6C3F1,sim,Não
"(1R,2S)-2-(methylamino)-1-phenylpropan-1-ol;sulfuric acid",C[C@@H]([C@@H](C1=CC=CC=C1)O)NC.C[C@@H]([C@@H](C1=CC=CC=C1)O)NC.OS(=O)(=O)O,5359318,Negative,In Vivo,RAT,F344,sim,sim
"(1R,2S)-2-(methylamino)-1-phenylpropan-1-ol;sulfuric acid",C[C@@H]([C@@H](C1=CC=CC=C1)O)NC.C[C@@H]([C@@H](C1=CC=CC=C1)O)NC.OS(=O)(=O)O,5359318,Negative,In Vivo,RAT,F344,sim,Não
"(1R,3S)-2-oxapentacyclo[8.6.1.01,3.06,17.011,16]heptadeca-6,8,10(17),11,13,15-hexaene-4,5-diol",C1=CC=C2C(=C1)C3=C4[C@@]25[C@@H](O5)C(C(C4=CC=C3)O)O,157895,Positive,In Vivo,MOUSE,ICR,sim,sim
"(1R,3S)-2-oxapentacyclo[8.6.1.01,3.06,17.011,16]heptadeca-6,8,10(17),11,13,15-hexaene-4,5-diol",C1=CC=C2C(=C1)C3=C4[C@@]25[C@@H](O5)C(C(C4=CC=C3)O)O,157895,Positive,In Vivo,MOUSE,ICR,sim,Não
"(1R,3S)-2-oxapentacyclo[8.6.1.01,3.06,17.011,16]heptadeca-6,8,10(17),11,13,15-hexaene-4,5-diol",C1=CC=C2C(=C1)C3=C4[C@@]25[C@@H](O5)C(C(C4=CC=C3)O)O,157895,Positive,In Vivo,RAT,STRAIN-CD,sim,sim
"(1R,4R,5R,6R,16R)-5,6-dihydroxy-4,5,6-trimethyl-2,8-dioxa-13-azatricyclo[8.5.1.013,16]hexadec-10-ene-3,7-dione",C[C@H]1C(=O)O[C@@H]2CCN3[C@@H]2C(=CC3)COC(=O)[C@]([C@]1(C)O)(C)O,315-22-0,Positive,in vivo,Nonhuman,Não definido,Não,Não
"(1R,4R,5R,6R,16R)-5,6-dihydroxy-4,5,6-trimethyl-2,8-dioxa-13-azatricyclo[8.5.1.013,16]hexadec-10-ene-3,7-dione",C[C@H]1C(=O)O[C@@H]2CCN3[C@@H]2C(=CC3)COC(=O)[C@]([C@]1(C)O)(C)O,9415,Positive,In Vivo,RAT,UNKNOWN,Não,Não
"(1R,4S,5S,6S,16R)-5-hydroxy-4,5,6-trimethyl-2,8-dioxa-13-azatricyclo[8.5.1.013,16]hexadec-10-ene-3,7-dione",C[C@@H]1C(=O)OCC2=CCN3[C@H]2[C@@H](CC3)OC(=O)[C@H]([C@@]1(C)O)C,6029-87-4,Positive,in vivo,Drosophila melanogaster,Não definido,Sim,Não
"(1R,4Z,6R,7R,11Z)-4-ethylidene-7-hydroxy-6,7,14-trimethyl-2,9-dioxa-14-azabicyclo[9.5.1]heptadec-11-ene-3,8,17-trione",C/C=C\1/C[C@H]([C@@](C(=O)OC/C/2=C/CN(CC[C@H](C2=O)OC1=O)C)(C)O)C,5281752,Positive,In Vivo,RAT,ACI,sim,Não
"(1R,4Z,7S,17R)-4-ethylidene-7-hydroxy-7-(hydroxymethyl)-6-methylidene-2,9-dioxa-14-azatricyclo[9.5.1.014,17]heptadec-11-ene-3,8-dione",C/C=C\1/CC(=C)[C@@](C(=O)OCC2=CCN3[C@H]2[C@@H](CC3)OC1=O)(CO)O,5281744,Positive,In Vivo,MOUSE,B6C3F1,sim,sim
"(1R,4Z,7S,17R)-4-ethylidene-7-hydroxy-7-(hydroxymethyl)-6-methylidene-2,9-dioxa-14-azatricyclo[9.5.1.014,17]heptadec-11-ene-3,8-dione",C/C=C\1/CC(=C)[C@@](C(=O)OCC2=CCN3[C@H]2[C@@H](CC3)OC1=O)(CO)O,5281744,Positive,In Vivo,MOUSE,B6C3F1,sim,Não
"(1R,4Z,7S,17R)-4-ethylidene-7-hydroxy-7-(hydroxymethyl)-6-methylidene-2,9-dioxa-14-azatricyclo[9.5.1.014,17]heptadec-11-ene-3,8-dione",C/C=C\1/CC(=C)[C@@](C(=O)OCC2=CCN3[C@H]2[C@@H](CC3)OC1=O)(CO)O,5281744,Negative,In Vivo,RAT,F344,sim,sim
"(1R,4Z,7S,17R)-4-ethylidene-7-hydroxy-7-(hydroxymethyl)-6-methylidene-2,9-dioxa-14-azatricyclo[9.5.1.014,17]heptadec-11-ene-3,8-dione",C/C=C\1/CC(=C)[C@@](C(=O)OCC2=CCN3[C@H]2[C@@H](CC3)OC1=O)(CO)O,5281744,Positive,In Vivo,RAT,F344,sim,sim
"(1R,4Z,7S,17R)-4-ethylidene-7-hydroxy-7-(hydroxymethyl)-6-methylidene-2,9-dioxa-14-azatricyclo[9.5.1.014,17]heptadec-11-ene-3,8-dione",C/C=C\1/CC(=C)[C@@](C(=O)OCC2=CCN3[C@H]2[C@@H](CC3)OC1=O)(CO)O,5281744,Positive,In Vivo,RAT,F344,sim,Não
"(1R,5'S,6R,6'R,8R,10E,12S,13S,14E,16E,20R,21R,24S)-6'-butan-2-yl-21,24-dihydroxy-12-[(2R,4S,5S,6S)-5-[(4S,5S,6S)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy-4-methoxy-6-methyloxan-2-yl]oxy-5',11,13,22-tetramethylspiro[3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene-6,2'-oxane]-2-one;(1R,5'S,6R,6'R,8R,10E,12S,13S,14E,16E,20R,21R,24S)-21,24-dihydroxy-12-[(2R,4S,5S,6S)-5-[(4S,5S,6S)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy-4-methoxy-6-methyloxan-2-yl]oxy-5',11,13,22-tetramethyl-6'-propan-2-ylspiro[3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene-6,2'-oxane]-2-one",CCC(C)[C@@H]1[C@H](CC[C@@]2(O1)CC3C[C@H](O2)C/C=C(/[C@H]([C@H](/C=C/C=C/4\CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)OC7C[C@@H]([C@H]([C@@H](O7)C)O)OC)OC)\C)C.C[C@H]1CC[C@]2(CC3C[C@H](O2)C/C=C(/[C@H]([C@H](/C=C/C=C/4\CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)OC7C[C@@H]([C@H]([C@@H](O7)C)O)OC)OC)\C)O[C@@H]1C(C)C,6435110,Negative,In Vivo,RAT,WISTAR,sim,Não
"(1R,7S)-1,3,4,7,8,9,10,10-octachlorotricyclo[5.2.1.02,6]dec-8-ene",C1C2C(C(C1Cl)Cl)[C@]3(C(=C([C@@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl,11954021,Positive,In Vivo,MOUSE,B6C3F1,sim,sim
